Frame,Visibility,X,Y,Time
0,1,601.0,586.0,00:00:00.06666666666666667
1,1,639.0,534.0,00:00:00.13333333333333333
2,1,682.0,491.0,00:00:00.2
3,1,718.0,453.0,00:00:00.26666666666666666
4,1,758.0,428.0,00:00:00.3333333333333333
5,1,803.0,407.0,00:00:00.4
6,1,829.0,403.0,00:00:00.4666666666666667
7,1,864.0,403.0,00:00:00.5333333333333333
8,1,894.0,411.0,00:00:00.6
9,1,924.0,428.0,00:00:00.6666666666666666
10,1,950.0,449.0,00:00:00.7333333333333333
11,1,977.0,479.0,00:00:00.8
12,1,1003.0,513.0,00:00:00.8666666666666667
13,1,1024.0,557.0,00:00:00.9333333333333333
14,1,1047.0,599.0,00:00:01.0
15,1,1064.0,650.0,00:00:01.0666666666666667
16,1,989.0,523.179175048424,00:00:01.1333333333333333
17,1,914.0,438.55320478189105,00:00:01.2
18,1,839.0,392.0,00:00:01.2666666666666666
19,1,799.0,358.0,00:00:01.3333333333333333
20,1,773.5,342.5,00:00:01.4
21,1,748.0,327.0,00:00:01.4666666666666666
22,1,729.0,325.0,00:00:01.5333333333333332
23,0,714.0,329.99999999999994,00:00:01.6
24,1,699.0,335.0,00:00:01.6666666666666667
25,1,688.0,348.0,00:00:01.7333333333333334
26,1,676.0,365.0,00:00:01.8
27,1,667.0,386.0,00:00:01.8666666666666667
28,1,663.0,407.0,00:00:01.9333333333333333
29,1,659.0,432.0,00:00:02.0
30,1,656.0,462.0,00:00:02.0666666666666664
31,0,701.0,440.9999999999997,00:00:02.1333333333333333
32,1,746.0,420.0,00:00:02.2
33,1,803.0,373.0,00:00:02.2666666666666666
34,1,854.0,339.0,00:00:02.3333333333333335
35,1,905.0,314.0,00:00:02.4
36,1,947.0,293.0,00:00:02.466666666666667
37,1,992.0,285.0,00:00:02.533333333333333
38,1,1032.0,285.0,00:00:02.6
39,1,1068.0,287.0,00:00:02.6666666666666665
40,1,1104.0,301.0,00:00:02.7333333333333334
41,1,1138.0,318.0,00:00:02.8
42,1,1170.0,344.0,00:00:02.8666666666666667
43,1,1100.8,332.33376763346394,00:00:02.933333333333333
44,1,1031.6,346.67310603322153,00:00:03.0
45,1,962.4,360.06958880646056,00:00:03.0666666666666664
46,1,893.2,372.5232159531811,00:00:03.1333333333333333
47,1,824.0,401.0,00:00:03.2
48,1,726.0,399.0,00:00:03.2666666666666666
49,1,654.0,401.0,00:00:03.3333333333333335
50,1,597.0,405.0,00:00:03.4
51,1,542.0,424.0,00:00:03.466666666666667
52,1,499.0,441.0,00:00:03.533333333333333
53,1,461.0,464.0,00:00:03.6
54,1,429.0,487.0,00:00:03.6666666666666665
55,1,402.0,517.0,00:00:03.7333333333333334
56,1,381.0,546.0,00:00:03.8
57,1,355.0,595.0,00:00:03.8666666666666667
58,1,347.0,620.0,00:00:03.933333333333333
59,0,396.5,553.4999999999998,00:00:04.0
60,1,446.0,487.0,00:00:04.066666666666666
61,1,485.0,445.0,00:00:04.133333333333333
62,1,521.0,411.0,00:00:04.2
63,1,555.0,388.0,00:00:04.266666666666667
64,1,591.0,373.0,00:00:04.333333333333333
65,1,625.0,369.0,00:00:04.4
66,1,654.0,371.0,00:00:04.466666666666667
67,1,686.0,384.0,00:00:04.533333333333333
68,1,718.0,407.0,00:00:04.6
69,1,746.0,432.0,00:00:04.666666666666667
70,1,788.0,489.0,00:00:04.733333333333333
71,1,814.0,538.0,00:00:04.8
72,1,837.0,591.0,00:00:04.866666666666666
73,1,864.0,643.0,00:00:04.933333333333334
74,1,886.0,713.0,00:00:05.0
75,1,839.0,709.0,00:00:05.066666666666666
76,1,744.0,633.0,00:00:05.133333333333333
77,1,676.0,582.0,00:00:05.2
78,1,625.0,548.0,00:00:05.266666666666667
79,1,584.0,527.0,00:00:05.333333333333333
80,1,548.0,519.0,00:00:05.4
81,1,518.0,521.0,00:00:05.466666666666667
82,1,495.0,525.0,00:00:05.533333333333333
83,1,470.0,542.0,00:00:05.6
84,1,457.0,561.0,00:00:05.666666666666667
85,1,448.0,582.0,00:00:05.733333333333333
86,1,438.0,612.0,00:00:05.8
87,0,470.0,578.9999999999998,00:00:05.866666666666666
88,1,502.0,546.0,00:00:05.933333333333334
89,1,508.0,589.0,00:00:06.0
